day_of_week,hour,total_revenue,transaction_count,avg_amount
Friday,0,1003.59,4,250.9
Friday,1,1244.29,3,414.76
Friday,2,263.65,1,263.65
Friday,3,560.32,2,280.16
Friday,4,616.16,3,205.39
Friday,5,1060.04,3,353.35
Friday,6,262.74,3,87.58
Friday,7,439.09,2,219.54
Friday,8,537.77,2,268.88
Friday,9,1332.06,3,444.02
Friday,10,950.24,2,475.12
Friday,11,371.9,1,371.9
Friday,12,253.09,2,126.54
Friday,13,344.29,2,172.14
Friday,14,2014.99,6,335.83
Friday,15,531.02,2,265.51
Friday,16,83.72,1,83.72
Friday,17,672.21,2,336.1
Friday,18,808.75,2,404.38
Friday,19,1563.71,6,260.62
Friday,21,653.97,4,163.49
Friday,22,195.04,2,97.52
Friday,23,1072.39,3,357.46
Monday,0,1171.59,4,292.9
Monday,1,411.8,3,137.27
Monday,2,163.21,2,81.6
Monday,3,156.7,1,156.7
Monday,4,627.88,2,313.94
Monday,5,1807.71,8,225.96
Monday,6,287.34,2,143.67
Monday,8,408.66,3,136.22
Monday,9,1340.87,4,335.22
Monday,10,1257.82,5,251.56
Monday,11,419.52,2,209.76
Monday,12,458.84,3,152.95
Monday,13,986.04,3,328.68
Monday,14,1004.33,3,334.78
Monday,15,629.92,3,209.97
Monday,16,390.91,1,390.91
Monday,17,169.95,2,84.98
Monday,18,496.75,1,496.75
Monday,19,1639.53,5,327.91
Monday,20,712.77,3,237.59
Monday,21,1463.35,4,365.84
Monday,22,303.72,2,151.86
Monday,23,623.04,4,155.76
Saturday,0,1165.57,3,388.52
Saturday,1,891.25,2,445.62
Saturday,2,536.61,3,178.87
Saturday,3,685.5,3,228.5
Saturday,4,462.65,1,462.65
Saturday,5,1075.78,4,268.94
Saturday,7,178.21,1,178.21
Saturday,8,1017.95,4,254.49
Saturday,9,245.13,1,245.13
Saturday,10,2105.03,6,350.84
Saturday,11,456.72,3,152.24
Saturday,12,1473.95,8,184.24
Saturday,13,113.86,1,113.86
Saturday,14,1266.06,3,422.02
Saturday,15,744.55,3,248.18
Saturday,16,567.11,4,141.78
Saturday,17,404.08,2,202.04
Saturday,18,1029.62,4,257.4
Saturday,19,262.88,1,262.88
Saturday,20,936.82,3,312.27
Saturday,21,1393.66,5,278.73
Saturday,22,792.44,3,264.15
Saturday,23,58.93,1,58.93
Sunday,0,928.08,3,309.36
Sunday,1,1885.31,6,314.22
Sunday,2,970.15,3,323.38
Sunday,3,688.23,4,172.06
Sunday,4,767.23,3,255.74
Sunday,5,91.23,2,45.62
Sunday,6,1120.25,4,280.06
Sunday,7,713.11,4,178.28
Sunday,8,631.07,3,210.36
Sunday,9,533.55,2,266.77
Sunday,10,438.21,1,438.21
Sunday,11,201.45,2,100.72
Sunday,12,1000.92,5,200.18
Sunday,13,825.56,2,412.78
Sunday,14,465.89,1,465.89
Sunday,15,521.18,2,260.59
