transaction_id,customer_id,transaction_date,amount,product_category,status,day_of_week,hour,week_num,days_since_last_purchase,churn_risk
TXN_00001,CUST_006,2025-01-17 01:33:50,370.99,Subscription,completed,Friday,1,3,448,High
TXN_00002,CUST_033,2025-05-20 07:29:24,444.34,Subscription,failed,Tuesday,7,21,432,High
TXN_00003,CUST_049,2025-04-28 19:44:56,461.32,Subscription,completed,Monday,19,18,430,High
TXN_00004,CUST_044,2025-03-20 23:57:17,256.78,Subscription,completed,Thursday,23,12,430,High
TXN_00005,CUST_014,2025-03-19 22:37:32,264.93,One-Time,pending,Wednesday,22,12,480,High
TXN_00006,CUST_023,2025-06-04 13:08:34,401.94,Subscription,completed,Wednesday,13,23,426,High
TXN_00007,CUST_027,2025-01-16 11:17:06,164.08,Add-On,completed,Thursday,11,3,430,High
TXN_00008,CUST_013,2025-05-06 12:37:47,420.32,Subscription,completed,Tuesday,12,19,448,High
TXN_00009,CUST_014,2025-02-06 06:20:54,252.13,One-Time,completed,Thursday,6,6,480,High
TXN_00010,CUST_012,2025-01-17 22:50:46,66.77,Subscription,completed,Friday,22,3,434,High
TXN_00011,CUST_050,2025-04-05 18:23:21,45.31,One-Time,completed,Saturday,18,14,458,High
TXN_00012,CUST_038,2025-06-25 14:41:18,422.58,One-Time,completed,Wednesday,14,26,421,High
TXN_00013,CUST_043,2025-05-13 10:27:00,37.23,Subscription,completed,Tuesday,10,20,418,High
TXN_00014,CUST_041,2025-05-18 00:07:24,147.5,Refund,completed,Sunday,0,20,423,High
TXN_00015,CUST_048,2025-05-10 03:30:06,173.72,Subscription,pending,Saturday,3,19,453,High
TXN_00016,CUST_006,2025-05-22 11:47:52,94.77,Subscription,completed,Thursday,11,21,448,High
TXN_00017,CUST_045,2025-04-03 09:08:19,163.81,One-Time,completed,Thursday,9,14,422,High
TXN_00018,CUST_004,2025-01-24 01:27:03,373.92,Add-On,failed,Friday,1,4,506,High
TXN_00019,CUST_024,2025-06-01 03:42:44,17.19,Subscription,completed,Sunday,3,22,445,High
TXN_00020,CUST_030,2025-03-23 01:40:02,415.31,Subscription,completed,Sunday,1,12,423,High
TXN_00021,CUST_018,2025-04-01 01:31:12,429.71,Add-On,completed,Tuesday,1,14,429,High
TXN_00022,CUST_008,2025-03-08 17:50:50,192.41,One-Time,completed,Saturday,17,10,418,High
TXN_00023,CUST_010,2025-02-02 20:36:51,85.27,Refund,pending,Sunday,20,5,422,High
TXN_00024,CUST_042,2025-06-16 19:37:29,304.41,One-Time,completed,Monday,19,25,430,High
TXN_00025,CUST_016,2025-05-21 16:22:17,68.64,One-Time,completed,Wednesday,16,21,430,High
TXN_00026,CUST_016,2025-04-26 21:29:50,188.81,Subscription,completed,Saturday,21,17,430,High
TXN_00027,CUST_047,2025-03-14 10:25:48,479.63,Add-On,completed,Friday,10,11,430,High
TXN_00028,CUST_008,2025-05-29 02:19:48,497.78,Subscription,completed,Thursday,2,22,418,High
TXN_00029,CUST_046,2025-04-09 04:15:13,388.33,One-Time,completed,Wednesday,4,15,425,High
TXN_00030,CUST_047,2025-03-21 19:32:57,162.37,Subscription,completed,Friday,19,12,430,High
TXN_00031,CUST_030,2025-03-23 01:59:06,346.96,One-Time,completed,Sunday,1,12,423,High
TXN_00032,CUST_009,2025-02-10 21:40:16,355.65,One-Time,completed,Monday,21,7,417,High
TXN_00033,CUST_008,2025-01-17 14:01:37,200.04,One-Time,completed,Friday,14,3,418,High
TXN_00034,CUST_015,2025-04-10 19:48:22,324.04,Add-On,completed,Thursday,19,15,422,High
TXN_00035,CUST_029,2025-06-09 19:41:02,15.26,Subscription,completed,Monday,19,24,422,High
TXN_00036,CUST_008,2025-01-12 11:41:25,112.44,One-Time,completed,Sunday,11,2,418,High
TXN_00037,CUST_023,2025-06-04 11:49:06,267.29,Subscription,completed,Wednesday,11,23,426,High
TXN_00038,CUST_006,2025-05-29 23:21:59,90.24,Subscription,completed,Thursday,23,22,448,High
TXN_00039,CUST_028,2025-02-19 19:36:06,91.29,Subscription,pending,Wednesday,19,8,422,High
TXN_00040,CUST_002,2025-04-24 16:47:24,419.79,Subscription,completed,Thursday,16,17,429,High
TXN_00041,CUST_036,2025-01-30 17:47:22,494.68,Subscription,pending,Thursday,17,5,424,High
TXN_00042,CUST_003,2025-05-17 10:56:20,282.43,One-Time,completed,Saturday,10,20,422,High
TXN_00043,CUST_010,2025-05-07 02:15:33,421.14,One-Time,completed,Wednesday,2,19,422,High
TXN_00044,CUST_009,2025-03-05 19:33:07,495.26,One-Time,completed,Wednesday,19,10,417,High
TXN_00045,CUST_042,2025-01-13 05:24:51,79.38,Subscription,completed,Monday,5,3,430,High
TXN_00046,CUST_003,2025-06-24 17:24:55,229.64,Subscription,completed,Tuesday,17,26,422,High
TXN_00047,CUST_022,2025-03-22 05:22:11,202.36,Subscription,completed,Saturday,5,12,488,High
TXN_00048,CUST_030,2025-06-10 18:16:59,49.22,One-Time,completed,Tuesday,18,24,423,High
TXN_00049,CUST_026,2025-05-03 00:36:36,380.11,Add-On,completed,Saturday,0,18,474,High
TXN_00050,CUST_035,2025-05-21 02:37:00,222.55,Subscription,completed,Wednesday,2,21,421,High
TXN_00051,CUST_041,2025-05-17 18:45:56,239.97,One-Time,completed,Saturday,18,20,423,High
TXN_00052,CUST_020,2025-02-05 00:50:21,83.83,Subscription,completed,Wednesday,0,6,514,High
TXN_00053,CUST_042,2025-03-07 12:04:26,98.65,Subscription,completed,Friday,12,10,430,High
TXN_00054,CUST_016,2025-03-26 00:14:05,454.48,Subscription,completed,Wednesday,0,13,430,High
TXN_00055,CUST_050,2025-03-31 14:27:34,31.88,Subscription,completed,Monday,14,14,458,High
TXN_00056,CUST_026,2025-01-08 21:13:56,124.1,One-Time,completed,Wednesday,21,2,474,High
TXN_00057,CUST_037,2025-04-09 09:10:48,153.11,Add-On,pending,Wednesday,9,15,425,High
TXN_00058,CUST_044,2025-01-28 18:31:50,250.2,Subscription,completed,Tuesday,18,5,430,High
TXN_00059,CUST_040,2025-05-14 19:23:02,297.36,One-Time,completed,Wednesday,19,20,463,High
TXN_00060,CUST_043,2025-05-03 22:46:17,251.71,One-Time,pending,Saturday,22,18,418,High
TXN_00061,CUST_027,2025-06-16 01:19:12,51.22,Refund,failed,Monday,1,25,430,High
TXN_00062,CUST_003,2025-05-15 01:22:21,129.4,One-Time,completed,Thursday,1,20,422,High
TXN_00063,CUST_025,2025-03-07 23:53:46,423.36,Subscription,pending,Friday,23,10,442,High
TXN_00064,CUST_010,2025-06-24 03:38:31,322.42,One-Time,pending,Tuesday,3,26,422,High
TXN_00065,CUST_045,2025-03-15 22:52:24,328.08,Subscription,completed,Saturday,22,11,422,High
TXN_00066,CUST_012,2025-02-28 15:33:55,338.4,Refund,completed,Friday,15,9,434,High
TXN_00067,CUST_012,2025-06-12 23:54:52,383.82,Subscription,completed,Thursday,23,24,434,High
TXN_00068,CUST_013,2025-03-08 16:23:09,38.47,One-Time,completed,Saturday,16,10,448,High
TXN_00069,CUST_033,2025-01-14 17:48:09,189.64,Subscription,completed,Tuesday,17,3,432,High
TXN_00070,CUST_029,2025-03-26 12:28:51,274.37,Subscription,completed,Wednesday,12,13,422,High
TXN_00071,CUST_048,2025-05-24 05:20:14,175.84,Add-On,completed,Saturday,5,21,453,High
TXN_00072,CUST_021,2025-02-04 02:30:58,423.79,One-Time,completed,Tuesday,2,6,442,High
TXN_00073,CUST_015,2025-03-25 07:54:11,246.46,Subscription,completed,Tuesday,7,13,422,High
TXN_00074,CUST_003,2025-01-24 09:15:39,386.63,Add-On,pending,Friday,9,4,422,High
TXN_00075,CUST_001,2025-05-04 13:35:09,427.49,Add-On,completed,Sunday,13,18,417,High
TXN_00076,CUST_019,2025-03-27 15:02:43,257.35,Subscription,completed,Thursday,15,13,418,High
TXN_00077,CUST_047,2025-03-01 10:26:53,455.68,One-Time,completed,Saturday,10,9,430,High
TXN_00078,CUST_027,2025-02-10 20:14:54,297.69,Subscription,pending,Monday,20,7,430,High
TXN_00079,CUST_045,2025-04-12 14:38:22,426.63,One-Time,failed,Saturday,14,15,422,High
TXN_00080,CUST_006,2025-05-01 13:35:47,176.89,Subscription,pending,Thursday,13,18,448,High
TXN_00081,CUST_005,2025-06-19 06:07:20,254.42,Subscription,pending,Thursday,6,25,423,High
TXN_00082,CUST_042,2025-03-20 16:29:46,270.39,Add-On,completed,Thursday,16,12,430,High
