aggregation_date,total_revenue,order_count,average_order_value,updated_at
2024-06-05,1069.3,6,178.22,2026-09-06 20:09:36
2024-06-04,3831.52,30,127.72,2026-09-06 20:09:36
2024-06-03,5819.36,30,193.98,2026-09-06 20:09:36
2024-06-02,3582.47,25,143.3,2026-09-06 20:09:36
2024-06-01,4131.35,30,137.71,2026-09-06 20:09:36
2024-05-31,4052.58,28,144.73,2026-09-06 20:09:36
2024-05-30,4609.06,27,170.71,2026-09-06 20:09:36
2024-05-29,3998.88,25,159.96,2026-09-06 20:09:36
2024-05-28,4941.81,26,190.07,2026-09-06 20:09:36
2024-05-27,4163.4,25,166.54,2026-09-06 20:09:36
2024-05-26,3603.33,24,150.14,2026-09-06 20:09:36
2024-05-25,6102.75,29,210.44,2026-09-06 20:09:36
2024-05-24,4124.75,30,137.49,2026-09-06 20:09:36
2024-05-23,4102.41,27,151.94,2026-09-06 20:09:36
2024-05-22,3681.07,24,153.38,2026-09-06 20:09:36
2024-05-21,4658.78,27,172.55,2026-09-06 20:09:36
2024-05-20,5199.11,25,207.96,2026-09-06 20:09:36
2024-05-19,4302.16,27,159.34,2026-09-06 20:09:36
2024-05-18,3815.17,28,136.26,2026-09-06 20:09:36
2024-05-17,4278.35,27,158.46,2026-09-06 20:09:36
2024-05-16,3372.64,27,124.91,2026-09-06 20:09:36
2024-05-15,3546.25,22,161.19,2026-09-06 20:09:36
2024-05-14,4164.88,28,148.75,2026-09-06 20:09:36
2024-05-13,4245.59,28,151.63,2026-09-06 20:09:36
2024-05-12,2649.78,23,115.21,2026-09-06 20:09:36
2024-05-11,4389.75,28,156.78,2026-09-06 20:09:36
2024-05-10,5895.03,29,203.28,2026-09-06 20:09:36
2024-05-09,3776.19,28,134.86,2026-09-06 20:09:36
2024-05-08,4390.6,27,162.61,2026-09-06 20:09:36
2024-05-07,3865.05,27,143.15,2026-09-06 20:09:36
2024-05-06,4829.9,31,155.8,2026-09-06 20:09:36
2024-05-05,5743.67,31,185.28,2026-09-06 20:09:36
2024-05-04,5176.45,29,178.5,2026-09-06 20:09:36
2024-05-03,6325.13,30,210.84,2026-09-06 20:09:36
2024-05-02,5014.15,29,172.9,2026-09-06 20:09:36
2024-05-01,3141.15,28,112.18,2026-09-06 20:09:36
2024-04-30,5981.81,27,221.55,2026-09-06 20:09:36
2024-04-29,4623.38,30,154.11,2026-09-06 20:09:36
2024-04-28,4136.43,26,159.09,2026-09-06 20:09:36
2024-04-27,5384.26,31,173.69,2026-09-06 20:09:36
2024-04-26,3603.06,28,128.68,2026-09-06 20:09:36
2024-04-25,5339.22,30,177.97,2026-09-06 20:09:36
2024-04-24,5048.07,28,180.29,2026-09-06 20:09:36
2024-04-23,4261.42,30,142.05,2026-09-06 20:09:36
2024-04-22,4318.01,26,166.08,2026-09-06 20:09:36
2024-04-21,4545.13,26,174.81,2026-09-06 20:09:36
2024-04-20,3940.17,24,164.17,2026-09-06 20:09:36
2024-04-19,5650.49,25,226.02,2026-09-06 20:09:36
2024-04-18,5222.02,29,180.07,2026-09-06 20:09:36
2024-04-17,5280.81,28,188.6,2026-09-06 20:09:36
2024-04-16,5989.96,28,213.93,2026-09-06 20:09:36
2024-04-15,4023.22,29,138.73,2026-09-06 20:09:36
2024-04-14,5581.6,29,192.47,2026-09-06 20:09:36
2024-04-13,4388.77,27,162.55,2026-09-06 20:09:36
