year_month,order_status,count
2024-01,cancelled,46
2024-01,completed,689
2024-01,pending,109
2024-01,shipped,148
2024-02,cancelled,53
2024-02,completed,660
2024-02,pending,102
2024-02,shipped,113
2024-03,cancelled,58
2024-03,completed,717
2024-03,pending,93
2024-03,shipped,124
2024-04,cancelled,43
2024-04,completed,689
2024-04,pending,88
2024-04,shipped,140
2024-05,cancelled,51
2024-05,completed,699
2024-05,pending,97
2024-05,shipped,145
2024-06,cancelled,7
2024-06,completed,100
2024-06,pending,8
2024-06,shipped,21
