customer_type,region,customers,total_revenue,avg_order,revenue_rank
B2C,West,81,73052.78,168.32,1
B2C,South,87,70911.73,154.83,2
B2C,East,76,70598.36,167.69,3
B2C,Central,70,62225.66,170.48,4
B2C,North,73,55723.58,157.86,5
B2B,Central,60,50085.32,162.09,6
B2B,South,52,48682.6,173.87,7
B2B,West,48,46809.45,175.32,8
B2B,North,47,45963.76,184.59,9
SMB,North,37,37120.23,181.07,10
B2B,East,34,29905.11,160.78,11
SMB,Central,37,28125.56,144.23,12
SMB,South,26,27818.12,176.06,13
SMB,West,37,27054.72,151.99,14
SMB,East,33,25392.45,154.83,15
Enterprise,South,23,19433.72,150.65,16
Enterprise,Central,18,17008.45,161.99,17
Enterprise,West,20,14621.27,147.69,18
Enterprise,North,17,12987.4,175.51,19
Enterprise,East,12,9440.72,140.91,20
