order_id,customer_id,order_amount,order_status,order_date
50054,1006,144.29,completed,2024-01-02
50133,1011,206.62,completed,2024-01-05
50154,1004,75.76,completed,2024-01-05
50186,1001,89.56,completed,2024-01-06
50193,1002,39.76,completed,2024-01-07
50202,1019,150.52,completed,2024-01-07
50305,1013,408.02,completed,2024-01-10
50388,1016,97.92,completed,2024-01-13
50457,1019,40.77,cancelled,2024-01-15
50477,1008,107.32,cancelled,2024-01-15
50729,1003,61.43,completed,2024-01-23
50739,1010,220.48,completed,2024-01-24
51002,1007,87.41,shipped,2024-02-01
51329,1005,123.57,pending,2024-02-11
51591,1009,357.63,completed,2024-02-19
51659,1017,218.6,pending,2024-02-21
51697,1014,317.34,pending,2024-02-23
51713,1011,37.09,completed,2024-02-23
51913,1003,179.61,cancelled,2024-02-29
52002,1007,280.37,completed,2024-03-03
52049,1018,118.12,completed,2024-03-05
52145,1016,286.1,completed,2024-03-08
52584,1003,31.93,completed,2024-03-21
52793,1017,87.27,completed,2024-03-28
52812,1003,56.09,shipped,2024-03-28
52913,1001,361.38,completed,2024-04-01
53017,1020,72.86,completed,2024-04-04
53027,1018,37.46,completed,2024-04-04
53085,1013,148.51,completed,2024-04-06
53169,1006,15.53,completed,2024-04-09
53487,1008,329.92,completed,2024-04-18
53557,1019,270.46,shipped,2024-04-21
53615,1014,28.81,completed,2024-04-22
53669,1007,408.92,completed,2024-04-24
53735,1005,177.68,shipped,2024-04-26
53744,1016,23.31,completed,2024-04-26
53793,1006,285.95,pending,2024-04-28
53874,1008,35.5,completed,2024-05-01
53917,1016,68.39,completed,2024-05-02
54192,1009,92.55,completed,2024-05-10
54397,1003,28.07,shipped,2024-05-17
54556,1011,90.43,completed,2024-05-22
54655,1009,20.17,completed,2024-05-25
54682,1004,164.7,cancelled,2024-05-26
54692,1012,73.57,completed,2024-05-26
54724,1007,237.52,shipped,2024-05-27
54759,1016,98.96,completed,2024-05-28
54778,1001,419.22,completed,2024-05-29
54863,1020,54.54,completed,2024-05-31
54875,1006,48.3,completed,2024-06-01
