region,customer_segment,order_count,total_revenue,average_order_value
West,B2C,400,66192.91,165.48
East,B2C,377,63628.88,168.78
South,B2C,417,63395.2,152.03
Central,B2C,313,56648.02,180.98
North,B2C,314,49419.76,157.39
Central,B2B,286,44665.72,156.17
South,B2B,249,44521.75,178.8
North,B2B,218,41548.36,190.59
West,B2B,240,41329.9,172.21
North,SMB,188,33670.31,179.1
East,B2B,165,27028.75,163.81
Central,SMB,173,24568.74,142.02
South,SMB,140,24475.94,174.83
West,SMB,157,23817.38,151.7
East,SMB,137,19586.74,142.97
South,Enterprise,118,18071.53,153.15
Central,Enterprise,94,16004.47,170.26
West,Enterprise,90,12564.67,139.61
North,Enterprise,66,11210.21,169.85
East,Enterprise,61,8434.8,138.28
